Change Document Object,Object Value,Document Number,User,Date,Time,Transaction Code,Change number,Document Number,Created from Planned,Change Flag for Application Object,Language Key,3-Byte field,Data Filter Value for Data Aging
SETS,01060001P0001,887067,SAP_WFRT,2/26/2019,4:42:05 PM,,,,,U,EN,000,
SETS,01060001P0001,887068,SAP_WFRT,2/26/2019,4:42:05 PM,,,,,U,EN,000,
SETS,01060001P0001,887106,SAP_WFRT,2/26/2019,4:42:18 PM,,,,,U,EN,000,
SETS,01060001P0001,887107,SAP_WFRT,2/26/2019,4:42:18 PM,,,,,U,EN,000,
SETS,01060001P0001,887158,SAP_WFRT,2/26/2019,4:42:35 PM,,,,,U,EN,000,
SETS,01060001P0001,887160,SAP_WFRT,2/26/2019,4:42:35 PM,,,,,U,EN,000,
SETS,01060001P0001,887161,SAP_WFRT,2/26/2019,4:42:35 PM,,,,,U,EN,000,
SETS,01060001P0001,887181,SAP_WFRT,2/26/2019,4:42:42 PM,,,,,U,EN,000,
SETS,01060001P0001,887182,SAP_WFRT,2/26/2019,4:42:42 PM,,,,,U,EN,000,
SETS,01060001P0001,887184,SAP_WFRT,2/26/2019,4:42:42 PM,,,,,U,EN,000,
SETS,01060001P0001,887185,SAP_WFRT,2/26/2019,4:42:43 PM,,,,,U,EN,000,
SETS,01060001P0001,887187,SAP_WFRT,2/26/2019,4:42:43 PM,,,,,U,EN,000,
SETS,01060001P0001,887188,SAP_WFRT,2/26/2019,4:42:43 PM,,,,,U,EN,000,
SETS,01060001P0001,887199,SAP_WFRT,2/26/2019,4:42:47 PM,,,,,U,EN,000,
SETS,01060001P0001,887200,SAP_WFRT,2/26/2019,4:42:47 PM,,,,,U,EN,000,
SETS,01060001P0001,887208,SAP_WFRT,2/26/2019,4:42:50 PM,,,,,U,EN,000,
SETS,01060001P0001,887209,SAP_WFRT,2/26/2019,4:42:50 PM,,,,,U,EN,000,
SETS,01060001P0001,887236,SAP_WFRT,2/26/2019,4:42:59 PM,,,,,U,EN,000,
SETS,01060001P0001,887238,SAP_WFRT,2/26/2019,4:42:59 PM,,,,,U,EN,000,
SETS,01060001P0001,887316,SAP_WFRT,2/26/2019,4:43:25 PM,,,,,U,EN,000,
SETS,01060001P0001,887317,SAP_WFRT,2/26/2019,4:43:25 PM,,,,,U,EN,000,
SETS,01060001P0001,887328,SAP_WFRT,2/26/2019,4:43:29 PM,,,,,U,EN,000,
SETS,01060001P0001,887329,SAP_WFRT,2/26/2019,4:43:29 PM,,,,,U,EN,000,
SETS,01060001P0001,887337,SAP_WFRT,2/26/2019,4:43:32 PM,,,,,U,EN,000,
SETS,01060001P0001,887338,SAP_WFRT,2/26/2019,4:43:32 PM,,,,,U,EN,000,
SETS,01060001P0001,887352,SAP_WFRT,2/26/2019,4:43:37 PM,,,,,U,EN,000,
SETS,01060001P0001,887353,SAP_WFRT,2/26/2019,4:43:37 PM,,,,,U,EN,000,
SETS,01060001P0001,887355,SAP_WFRT,2/26/2019,4:43:37 PM,,,,,U,EN,000,
SETS,01060001P0001,887359,SAP_WFRT,2/26/2019,4:43:39 PM,,,,,U,EN,000,
SETS,01060001P0001,887361,SAP_WFRT,2/26/2019,4:43:39 PM,,,,,U,EN,000,
SETS,01060001P0001,887362,SAP_WFRT,2/26/2019,4:43:39 PM,,,,,U,EN,000,
SETS,01060001P0001,887433,SAP_WFRT,2/26/2019,4:44:03 PM,,,,,U,EN,000,
SETS,01060001P0001,887434,SAP_WFRT,2/26/2019,4:44:03 PM,,,,,U,EN,000,
SETS,01060001P0001,887466,SAP_WFRT,2/26/2019,4:44:14 PM,,,,,U,EN,000,
SETS,01060001P0001,887467,SAP_WFRT,2/26/2019,4:44:14 PM,,,,,U,EN,000,
SETS,01060001P0001,887469,SAP_WFRT,2/26/2019,4:44:14 PM,,,,,U,EN,000,
SETS,01060001P0001,887484,SAP_WFRT,2/26/2019,4:44:19 PM,,,,,U,EN,000,
SETS,01060001P0001,887485,SAP_WFRT,2/26/2019,4:44:19 PM,,,,,U,EN,000,
SETS,01060001P0001,887544,SAP_WFRT,2/26/2019,4:44:39 PM,,,,,U,EN,000,
SETS,01060001P0001,887545,SAP_WFRT,2/26/2019,4:44:39 PM,,,,,U,EN,000,
SETS,01060001P0001,887604,SAP_WFRT,2/26/2019,4:44:59 PM,,,,,U,EN,000,
SETS,01060001P0001,887605,SAP_WFRT,2/26/2019,4:44:59 PM,,,,,U,EN,000,
SETS,01060001P0001,887622,SAP_WFRT,2/26/2019,4:45:05 PM,,,,,U,EN,000,
SETS,01060001P0001,887623,SAP_WFRT,2/26/2019,4:45:05 PM,,,,,U,EN,000,
SETS,01060001P0001,887625,SAP_WFRT,2/26/2019,4:45:05 PM,,,,,U,EN,000,
SETS,01060001P0001,887635,SAP_WFRT,2/26/2019,4:45:09 PM,,,,,U,EN,000,
SETS,01060001P0001,887637,SAP_WFRT,2/26/2019,4:45:09 PM,,,,,U,EN,000,
SETS,01060001P0001,887638,SAP_WFRT,2/26/2019,4:45:09 PM,,,,,U,EN,000,
SETS,01060001P0001,887646,SAP_WFRT,2/26/2019,4:45:12 PM,,,,,U,EN,000,
SETS,01060001P0001,887647,SAP_WFRT,2/26/2019,4:45:12 PM,,,,,U,EN,000,
SETS,01060001P0001,887652,SAP_WFRT,2/26/2019,4:45:14 PM,,,,,U,EN,000,
SETS,01060001P0001,887653,SAP_WFRT,2/26/2019,4:45:14 PM,,,,,U,EN,000,
SETS,01060001P0001,887655,SAP_WFRT,2/26/2019,4:45:15 PM,,,,,U,EN,000,
SETS,01060001P0001,887656,SAP_WFRT,2/26/2019,4:45:15 PM,,,,,U,EN,000,
SETS,01060001P0001,887715,SAP_WFRT,2/26/2019,4:45:35 PM,,,,,U,EN,000,
SETS,01060001P0001,887716,SAP_WFRT,2/26/2019,4:45:35 PM,,,,,U,EN,000,
SETS,01060001P0001,887760,SAP_WFRT,2/26/2019,4:45:50 PM,,,,,U,EN,000,
SETS,01060001P0001,887761,SAP_WFRT,2/26/2019,4:45:50 PM,,,,,U,EN,000,
SETS,01060001P0001,887763,SAP_WFRT,2/26/2019,4:45:50 PM,,,,,U,EN,000,
SETS,01060001P0001,887770,SAP_WFRT,2/26/2019,4:45:53 PM,,,,,U,EN,000,
SETS,01060001P0001,887772,SAP_WFRT,2/26/2019,4:45:53 PM,,,,,U,EN,000,
SETS,01060001P0001,887773,SAP_WFRT,2/26/2019,4:45:53 PM,,,,,U,EN,000,
